2	0.02	0.24413111231467408
4	0.49333333333333335	1.752128863855497
6	1.4666666666666666	3.132978703335781
9	4.183333333333334	4.633543160716453
11	5.866666666666666	5.0235003290092015
14	7.51	5.0315570817259605
16	7.763333333333334	5.1756470341612575
19	7.41	5.449944953850451
21	8.011666666666667	5.469067308254875
24	7.173333333333333	5.248805155038198
26	7.69	5.564821051330702
29	7.493333333333333	5.580019912349975
31	7.37	5.0996503148091765
34	7.63	5.739317613328842
36	7.06	5.0573115387525815
38	7.716666666666667	5.4659298283904905
41	7.54	5.60967022203623
43	7.83	5.288455981349061
46	7.446666666666666	5.462034622942464
48	7.513333333333334	5.807738133061978
51	7.52	5.64885829172586
53	7.526666666666666	5.307474812836033
56	7.0	5.529918625079396
58	8.1	5.368736660829374
61	7.93	5.235624763738008
63	6.756666666666667	5.548944844642889
66	5.326666666666667	5.091819146653013
68	5.13	5.0826272733695514
70	3.9966666666666666	5.002997990094428
73	2.67	3.794878127160344
75	1.3833333333333333	2.8803452725131566
78	1.0266666666666666	2.554594988556025
80	0.6166666666666667	2.171724864914727
83	0.13	0.9054096678667987
85	0.11333333333333333	0.7961295260334353
88	0.0	0.0
90	0.0	0.0
93	0.0	0.0
95	0.0	0.0
98	0.0	0.0
